col,RMSE
Volume_OSC,0.0594878270541879
Sigma,0.0599527084655747
MA5_gra,0.0599937185492504
CCI,0.0610433477626875
Disparity20,0.0612739051483394
RSI14,0.0618524928923411
Psy,0.0619324060546931
VR,0.0633386434087842
MA20_gra,0.0635689613113833
MFI,0.0642455798103213
RSI signal,0.0651304748150421
TRIX,0.0654439661473357
MACD_OSC,0.0658037467621188
Momentum,0.0663694286641602
Fast%D,0.0664124626170691
A_Ratio,0.0664806510160258
Slow%K,0.0665368870810314
Disparity60,0.0669642697487539
Sonar,0.0672033691794281
ADX,0.0676876959007559
MA60_gra,0.0680100130747295
MA120,0.0683326634943849
WILLR,0.0685456123214015
V_MA20,0.0693900676100191
Slow%D,0.0694704094996161
MA120_gra,0.0696320022119426
Fast%K,0.0698270196953098
middleband,0.0698584759312442
MA5,0.0701610470514478
V_MA120,0.0701709189457087
V_MA5,0.0712554996338044
V_MA60,0.0719047570307756
ADOSC,0.0723138371299043
MA60,0.072748984099944
EMA60,0.0731335247146928
upperband,0.0739731615384368
MACD_sig9,0.0742879375663838
EMA20,0.0757421820504322
STDEV,0.0762051943507208
MA20,0.0762810169710243
Sonar_sig5,0.0767777021618543
ATR,0.0774981443602151
lowerband,0.0783765646724708
MACD,0.081358020300857
EMA5,0.084769095402534
EMA120,0.0957252759016543
UpDI,0.1030239809762035
DownDI,0.141084489888154
B_Ratio,2.668964250527396
